No.,Municipio,Colonia,LAT,LONG,Poblacion Total,Poblacion masculina,Poblacion femenina,Poblacion de 0 a 2 anos,Poblacion de 3 a 5 anos,Poblacion de 6 a 11 anos,Poblacion de 8 a 14 anos,Poblacion de 12 a 14 anos,Poblacion de 15 a 17 anos,Poblacion de 18 a 24 anos,Poblacion de 60 anos y mas,Promedio de hijos nacidos vivos,Poblacion nacida en la entidad,Poblacion nacida en otra entidad,Grado promedio de escolaridad,Poblacion con religion catolica,"Protestantes, Evangelicas y Biblicas diferentes de evangelicas",Poblacion con otras religiones diferentes a las anteriores,Poblacion sin religion,Total de hogares censales,Hogares censales con jefatura masculina,Hogares censales con jefatura femenina,Poblacion en hogares censales,Poblacion en hogares censales con jefatura masculina,Poblacion en hogares censales con jefatura femenina,Ocupantes en viviendas particulares habitadas,Promedio de ocupantes en viviendas particulares habitadas,Promedio de ocupantes por cuarto en viviendas particulares habitadas,Total de Viviendas,Viviendas particulares habitadas con piso de material diferente de tierra,Viviendas particulares habitadas con piso de tierra,Viviendas particulares habitadas con un dormitorio,Viviendas particulares habitadas con dos dormitorios y mas,Viviendas particulares habitadas con un solo cuarto,Viviendas particulares habitadas con dos cuartos,Viviendas particulares habitadas con 3 cuartos y mas
76,Guadalajara,ARANDAS,20.691847,-103.287139,6142,2921,3221,250,263,592,710,297,345,850,532,2.07,5333,730,10.49,5707,240,0,101,1535,1116,414,6103,4664,1438,6103,3.99,0.92,1668,630,1509,0,141,1364,0,0
79,Guadalajara,ARCOS VALLARTA,20.6731402,-103.3824539,176,78,83,3,0,10,6,0,0,24,35,1.98,114,43,13.38,138,4,0,3,58,37,19,161,108,53,161,2.7,0.58,85,40,56,0,14,42,0,0
125,Guadalajara,CENTRO,20.686017,-103.351296,3976,1850,1797,45,46,170,208,72,108,522,470,1.55,2520,784,10.56,2872,101,3,303,1073,661,326,3313,2137,1161,3313,3.04,0.71,1673,439,1042,4,309,683,66,51
128,Guadalajara,CHAPALITA,20.6629903,-103.4040153,5434,2580,2781,45,67,238,326,123,165,740,1110,1.79,3659,1298,13.23,4720,106,8,185,1496,958,533,4639,3274,1363,4639,3.07,0.54,1880,1049,1441,3,213,1239,13,20
129,Guadalajara,CHAPULTEPEC COUNTRY,20.69562,-103.366739,4099,1902,2190,89,77,242,298,122,136,482,703,1.73,3056,659,13.47,3474,98,7,158,1222,831,390,3781,2809,970,3781,3.21,0.57,1472,840,1171,18,244,956,5,10
135,Guadalajara,CIRCUNVALACIoN OBLATOS,20.687659,-103.299856,4164,2028,2128,142,162,418,534,226,293,603,180,1.67,3641,415,11.68,3824,144,19,83,1078,818,236,4108,3314,790,4108,3.65,0.85,1210,632,1064,4,115,934,0,7
141,Guadalajara,COLOMOS PROVIDENCIA,20.707553,-103.383263,920,417,494,24,34,61,66,25,22,97,100,1.45,571,227,14.69,752,20,8,65,283,199,83,837,638,199,837,2.96,0.59,362,231,278,0,74,208,0,3
169,Guadalajara,DIVISIoN DEL NORTE,20.733444,-103.353438,5445,2678,2750,305,350,614,698,294,341,730,521,2.62,4624,733,8.25,4944,316,0,94,1145,888,252,5395,4356,1037,5395,4.56,1.1,1245,237,1118,10,256,881,23,115
207,Guadalajara,ESTADIO (INFONAVIT),20.71472,-103.318197,4937,2405,2532,250,238,458,503,195,222,734,273,1.91,4125,534,10.33,4390,185,0,51,1277,898,370,4700,3472,1226,4700,3.69,0.97,1527,450,1261,0,72,1165,0,17
212,Guadalajara,EXPO GUADALAJARA,20.652725,-103.39222,176,92,84,6,4,8,12,8,7,31,21,1.59,123,45,13.85,158,8,0,7,62,43,19,173,128,45,173,2.79,0.58,80,42,59,0,9,51,0,0
